date(UTC),requests,impressions,revenue($)
20191101,94548100,63999,31.632
20191102,98863860,65114,31.412
20191103,101242960,88483,41.171
20191104,97580980,209143,82.660
20191105,95588800,179573,76.976
20191106,95399340,190513,82.332
20191107,98216780,116483,50.050
20191108,98809320,169071,64.872
20191109,100463340,164167,61.944
20191110,103518220,163278,61.943
20191111,100183180,201186,67.694
20191112,99036320,186034,65.053
20191113,116927380,223263,72.765
20191114,130523720,330965,109.023
20191115,128670380,269462,98.114
20191116,128988360,313901,124.533
20191117,130613100,584930,184.373
20191118,129709640,177972,77.543
20191119,134379700,80537,44.572
20191120,134155980,84075,55.881
20191121,133346020,58756,39.497
20191122,132408440,59279,35.612
20191123,134578220,107115,50.331
sum,2617752140,4087299,1609.983
