date(UTC),impressions,spends($)
20191101,25108,7.235
20191102,23913,6.104
20191103,1454,0.363
20191104,10608,3.158
20191105,10797,3.315
20191106,14371,4.659
20191107,10458,3.812
20191108,17224,5.598
20191109,20099,7.433
20191110,12213,4.540
20191111,8930,3.118
20191112,43228,14.245
20191113,64794,22.656
20191114,34207,9.972
20191115,18020,3.896
20191116,7774,1.753
20191117,4343,1.139
20191118,7595,1.870
20191119,20459,5.015
20191120,16694,4.184
20191121,17546,4.981
20191122,26640,7.421
20191123,16922,4.797
20191124,20108,5.598
